id,area,area_removed
QUAC_W_SH_Q2093,48.52990046662988,131456177.633454
QUAC_W_SH_Q1850,26.866696797552365,55329561.705499
QUAC_W_SH_Q2003,6.952186545893271,50862263.425894
QUAC_W_SH_Q2136,0.07312077087560852,17569374.096096
QUAC_W_SH_Q2111,8.089161225201586e-4,184683.413815
QUAC_W_SH_Q2096,1.0532354160596451e-4,1797.439668
QUAC_W_SH_Q2078,4.306910623292229e-6,257.966043
QUAC_W_SH_Q2091,7.830746587804054e-7,9.357925
QUAC_W_SH_Q2108,0,1.690932
QUAC_W_SH_Q2094,NA,NA
QUAC_W_SH_Q2125,NA,NA
QUAC_W_SH_Q1865,NA,NA
QUAC_W_SH_Q2051,NA,NA
QUAC_W_SH_Q2161,NA,NA
QUAC_W_SH_Q1870,NA,NA
QUAC_W_SH_Q2066,NA,NA
QUAC_W_SH_Q2113,NA,NA
QUAC_W_SH_Q2151,NA,NA
QUAC_W_SH_Q1876,NA,NA
QUAC_W_SH_Q1879,NA,NA
QUAC_W_SH_Q2158,NA,NA
QUAC_W_SH_Q2155,NA,NA
QUAC_W_SH_Q1886,NA,NA
QUAC_W_SH_Q1872,NA,NA
QUAC_W_SH_Q2101,NA,NA
QUAC_W_SH_Q2121,NA,NA
QUAC_W_SH_Q2088,NA,NA
QUAC_W_SH_Q2074,NA,NA
QUAC_W_SH_Q2055,NA,NA
QUAC_W_SH_Q2092,NA,NA
QUAC_W_SH_Q2124,NA,NA
QUAC_W_SH_Q1881,NA,NA
QUAC_W_SH_Q2119,NA,NA
QUAC_W_SH_Q2001,NA,NA
QUAC_W_SH_Q2123,NA,NA
QUAC_W_SH_Q1878,NA,NA
QUAC_W_SH_Q2070,NA,NA
QUAC_W_SH_Q2062,NA,NA
QUAC_W_SH_Q2117,NA,NA
QUAC_W_SH_Q2086,NA,NA
QUAC_W_SH_Q2007,NA,NA
QUAC_W_SH_Q1866,NA,NA
QUAC_W_SH_Q1875,NA,NA
QUAC_W_SH_Q2153,NA,NA
QUAC_W_SH_Q1854,NA,NA
QUAC_W_SH_Q2163,NA,NA
QUAC_W_SH_Q2142,NA,NA
QUAC_W_SH_Q2057,NA,NA
QUAC_W_SH_Q2152,NA,NA
QUAC_W_SH_Q2118,NA,NA
QUAC_W_SH_Q2135,NA,NA
QUAC_W_SH_Q1885,NA,NA
QUAC_W_SH_Q2058,NA,NA
QUAC_W_SH_Q2061,NA,NA
QUAC_W_SH_Q2090,NA,NA
QUAC_W_SH_Q2120,NA,NA
QUAC_W_SH_Q1856,NA,NA
QUAC_W_SH_Q2157,NA,NA
QUAC_W_SH_Q2082,NA,NA
QUAC_W_SH_Q2147,NA,NA
QUAC_W_SH_Q1874,NA,NA
QUAC_W_SH_Q2002,NA,NA
QUAC_W_SH_Q2068,NA,NA
QUAC_W_SH_Q1880,NA,NA
QUAC_W_SH_Q2071,NA,NA
QUAC_W_SH_Q2064,NA,NA
QUAC_W_SH_Q2100,NA,NA
QUAC_W_SH_Q1862,NA,NA
QUAC_W_SH_Q2126,NA,NA
QUAC_W_SH_Q1871,NA,NA
QUAC_W_SH_Q2006,NA,NA
QUAC_W_SH_Q2084,NA,NA
QUAC_W_SH_Q2105,NA,NA
QUAC_W_SH_Q1882,NA,NA
QUAC_W_SH_Q2060,NA,NA
QUAC_W_SH_Q2008,NA,NA
QUAC_W_SH_Q1873,NA,NA
QUAC_W_SH_Q2050,NA,NA
QUAC_W_SH_Q2114,NA,NA
QUAC_W_SH_Q2080,NA,NA
QUAC_W_SH_Q1877,NA,NA
QUAC_W_SH_Q2115,NA,NA
QUAC_W_SH_Q2059,NA,NA
QUAC_W_SH_Q1868,NA,NA
QUAC_W_SH_Q2063,NA,NA
QUAC_W_SH_Q2056,NA,NA
QUAC_W_SH_Q2127,NA,NA
QUAC_W_SH_Q2073,NA,NA
QUAC_W_SH_Q2076,NA,NA
QUAC_W_SH_Q2122,NA,NA
QUAC_W_SH_Q1869,NA,NA
